年度,日付,曜日,週末/祝日,球場,試合時間,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン_ホーム,ホームラン_ビジター,ホームラン合計,HR詳細_ホーム,HR詳細_ビジター,ホーム勝利,得点差,逆転あり,サヨナラ,延長戦,リード変化回数,最終得点イニング,イニング別得点,勝利投手,敗戦投手,セーブ投手,URL
2022,2022年3月25日（金）,金,0,横　浜,3時間31分,横浜DeNAベイスターズ,広島東洋カープ,3,11,6,17,1,0,0,0,0,,,0,8,0,0,0,0,9,"0(0),0(3),0(0),1(0),0(0),0(5),2(0),0(1),0(2)",大瀬良（1勝0敗）,東（0勝1敗）,,https://npb.jp/scores/2022/0325/db-c-01/
2022,2022年3月25日（金）,金,0,楽天生命パーク,2時間58分,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,0,4,3,6,0,1,0,0,0,,,0,4,0,0,0,0,8,"0(0),0(0),0(0),0(0),0(0),0(3),0(0),0(1),0(0)",石川（1勝0敗）,則本（0勝1敗）,,https://npb.jp/scores/2022/0325/e-m-01/
2022,2022年3月25日（金）,金,0,東京ドーム,3時間19分,読売ジャイアンツ,中日ドラゴンズ,4,2,8,10,1,2,1,1,2,丸1号（2回ソロ大野雄）,ビシエド1号（4回ソロ菅野）,1,2,1,1,0,2,5,"0(0),1(0),0(1),0(1),3(0),0(0),0(0),0(0),x(0)",菅野（1勝0敗）,大野雄（0勝1敗）,大勢（1セ）,https://npb.jp/scores/2022/0325/g-d-01/
2022,2022年3月25日（金）,金,0,PayPayドーム,3時間25分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,1,8,4,0,0,1,1,2,ガルビス1号（8回満塁西村）,石井1号（4回ソロ千賀）,1,3,1,1,0,1,8,"0(0),0(0),0(0),0(1),0(0),0(0),0(0),4(0),x(0)",津森（1勝0敗）,杉浦（0勝1敗）,森（1セ）,https://npb.jp/scores/2022/0325/h-f-01/
2022,2022年3月25日（金）,金,0,ベルーナドーム,2時間48分,埼玉西武ライオンズ,オリックス・バファローズ,0,6,4,7,2,0,0,0,0,,,0,6,0,0,0,0,9,"0(0),0(0),0(0),0(0),0(0),0(2),0(0),0(0),0(4)",山本（1勝0敗）,髙橋光成（0勝1敗）,,https://npb.jp/scores/2022/0325/l-b-01/
2022,2022年3月25日（金）,金,0,京セラD大阪,3時間55分,阪神タイガース,東京ヤクルトスワローズ,8,10,15,15,0,1,1,4,5,糸井1号（4回2ラン大下）,濱田1号（7回ソロ藤浪）、サンタナ1号（8回2ラン齋藤）、山田1号（9回ソロケラー）、サンタナ2号（9回2ランケラー）,0,2,1,0,0,2,9,"0(1),1(0),3(0),4(0),0(0),0(1),0(1),0(4),0(3)",梅野（1勝0敗）,ケラー（0勝1敗）,マクガフ（1セ）,https://npb.jp/scores/2022/0325/t-s-01/
2022,2022年3月26日（土）,土,1,横　浜,3時間15分,横浜DeNAベイスターズ,広島東洋カープ,5,10,11,14,2,1,0,1,1,,菊池涼1号（5回ソロ大貫）,0,5,0,0,0,0,9,"0(1),0(0),0(1),2(2),1(4),0(2),0(0),0(0),2(0)",森下（1勝0敗）,大貫（0勝1敗）,,https://npb.jp/scores/2022/0326/db-c-02/
2022,2022年3月26日（土）,土,1,東京ドーム,3時間21分,読売ジャイアンツ,中日ドラゴンズ,7,5,12,5,2,0,0,1,1,,勝野1号（5回2ラン山﨑伊）,1,2,1,1,0,2,8,"0(0),1(1),0(0),1(0),0(2),0(0),0(0),5(2),x(0)",畠（1勝0敗）,福（0勝1敗）,大勢（2セ）,https://npb.jp/scores/2022/0326/g-d-02/
2022,2022年3月26日（土）,土,1,PayPayドーム,3時間4分,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,3,9,7,0,1,1,3,4,栗原1号（2回ソロ古川侑）,アルカンタラ1号（4回ソロ東浜）、アルカンタラ2号（6回ソロ東浜）、清宮1号（9回ソロ藤井）,1,3,0,1,0,0,9,"0(0),1(0),0(0),0(1),5(0),0(1),0(0),0(0),x(1)",東浜（1勝0敗）,河野（0勝1敗）,森（2セ）,https://npb.jp/scores/2022/0326/h-f-02/
2022,2022年3月26日（土）,土,1,ベルーナドーム,2時間37分,埼玉西武ライオンズ,オリックス・バファローズ,5,0,9,1,0,0,1,0,1,山川1号（1回3ラン宮城）,,1,5,0,1,0,0,8,"3(0),0(0),0(0),1(0),0(0),0(0),0(0),1(0),x(0)",隅田（1勝0敗）,宮城（0勝1敗）,,https://npb.jp/scores/2022/0326/l-b-02/
