日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年3月27日（金）,京セラD大阪,オリックス・バファローズオリックス,東北楽天ゴールデンイーグルス楽天,0,10,4,16,1,0,0,0,"0(2),0(6),0(0),0(0),0(0),0(0),0(1),0(1),0(0)",35942,https://npb.jp/scores/2026/0327/b-e-01/
2026年3月27日（金）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,6,5,11,17,0,0,0,0,"0(0),0(2),0(0),0(0),1(0),0(0),0(0),0(0),4(3)",32506,https://npb.jp/scores/2026/0327/c-d-01/
2026年3月27日（金）,横　浜,横浜DeNAベイスターズDeNA,東京ヤクルトスワローズヤクルト,2,3,6,9,1,0,0,0,"1(0),0(2),0(0),0(0),0(1),1(0),0(0),0(0),0(0)",33813,https://npb.jp/scores/2026/0327/db-s-01/
2026年3月27日（金）,東京ドーム,読売ジャイアンツ巨人,阪神タイガース阪神,3,1,6,4,0,0,0,0,"2(0),0(0),0(0),1(1),0(0),0(0),0(0),0(0),x(0)",42111,https://npb.jp/scores/2026/0327/g-t-01/
2026年3月27日（金）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,北海道日本ハムファイターズ日本ハム,6,5,11,9,2,0,0,0,"0(3),2(0),1(0),1(1),0(0),1(0),0(1),1(0),x(0)",40122,https://npb.jp/scores/2026/0327/h-f-01/
2026年3月27日（金）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,3,1,7,7,1,0,0,0,"0(0),1(0),0(0),1(0),0(0),0(0),0(1),1(0),x(0)",29469,https://npb.jp/scores/2026/0327/m-l-01/
2026年3月28日（土）,京セラD大阪,オリックス・バファローズオリックス,東北楽天ゴールデンイーグルス楽天,6,0,11,4,0,0,0,0,"0(0),0(0),2(0),0(0),0(0),0(0),4(0),0(0),x(0)",30991,https://npb.jp/scores/2026/0328/b-e-02/
2026年3月28日（土）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,2,1,4,7,1,2,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),1(0),1(1),x(0)",30491,https://npb.jp/scores/2026/0328/c-d-02/
2026年3月28日（土）,横　浜,横浜DeNAベイスターズDeNA,東京ヤクルトスワローズヤクルト,2,5,9,9,0,0,0,0,"0(0),1(1),1(3),0(0),0(0),0(0),0(1),0(0),0(0)",33224,https://npb.jp/scores/2026/0328/db-s-02/
2026年3月28日（土）,東京ドーム,読売ジャイアンツ巨人,阪神タイガース阪神,0,2,3,7,2,0,0,0,"0(1),0(0),0(0),0(0),0(0),0(0),0(0),0(1),0(0)",42193,https://npb.jp/scores/2026/0328/g-t-02/
2026年3月28日（土）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,北海道日本ハムファイターズ日本ハム,6,4,8,12,1,0,0,0,"0(0),0(1),0(0),0(1),5(0),0(0),0(0),1(0),x(2)",40122,https://npb.jp/scores/2026/0328/h-f-02/
2026年3月28日（土）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,11,0,16,5,1,1,0,0,"2(0),0(0),0(0),0(0),2(0),7(0),0(0),0(0),x(0)",26102,https://npb.jp/scores/2026/0328/m-l-02/
2026年3月29日（日）,京セラD大阪,オリックス・バファローズオリックス,東北楽天ゴールデンイーグルス楽天,5,4,12,8,0,1,0,0,"3(2),1(0),0(0),1(0),0(1),0(1),0(0),0(0),x(0)",34537,https://npb.jp/scores/2026/0329/b-e-03/
2026年3月29日（日）,マツダスタジアム,広島東洋カープ広島,中日ドラゴンズ中日,1,0,6,1,0,1,0,0,"0(0),0(0),0(0),0(0),0(0),1(0),0(0),0(0),x(0)",29697,https://npb.jp/scores/2026/0329/c-d-03/
2026年3月29日（日）,横　浜,横浜DeNAベイスターズDeNA,東京ヤクルトスワローズヤクルト,3,5,11,7,1,0,0,0,"1(0),0(0),0(0),0(0),0(0),0(0),1(0),0(5),1(0)",32609,https://npb.jp/scores/2026/0329/db-s-03/
2026年3月29日（日）,東京ドーム,読売ジャイアンツ巨人,阪神タイガース阪神,6,12,12,13,0,0,0,0,"1(0),0(2),2(3),0(0),2(0),0(0),1(0),0(3),0(4)",42223,https://npb.jp/scores/2026/0329/g-t-03/
2026年3月29日（日）,みずほPayPay,福岡ソフトバンクホークスソフトバンク,北海道日本ハムファイターズ日本ハム,8,4,13,7,0,1,0,0,"1(0),3(2),1(1),2(0),0(0),0(0),0(0),1(1),x(0)",40122,https://npb.jp/scores/2026/0329/h-f-03/
2026年3月29日（日）,ZOZOマリン,千葉ロッテマリーンズロッテ,埼玉西武ライオンズ西武,0,4,5,11,1,0,0,0,"0(1),0(0),0(0),0(0),0(1),0(0),0(0),0(0),0(2)",27673,https://npb.jp/scores/2026/0329/m-l-03/
2026年3月31日（火）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,2,5,7,7,0,0,0,0,"0(0),1(0),0(0),0(0),1(0),0(2),0(0),0(0),0(3)",36645,https://npb.jp/scores/2026/0331/d-g-01/
2026年3月31日（火）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,福岡ソフトバンクホークスソフトバンク,2,4,10,9,0,0,0,0,"0(0),1(0),0(1),0(1),0(0),0(0),0(0),1(1),0(1)",24882,https://npb.jp/scores/2026/0331/e-h-01/
2026年3月31日（火）,エスコンＦ,北海道日本ハムファイターズ日本ハム,千葉ロッテマリーンズロッテ,9,0,9,0,1,1,0,0,"0(0),7(0),0(0),0(0),0(0),0(0),2(0),0(0),x(0)",31457,https://npb.jp/scores/2026/0331/f-m-01/
2026年3月31日（火）,ベルーナドーム,埼玉西武ライオンズ西武,オリックス・バファローズオリックス,5,3,9,10,0,0,0,0,"0(0),1(1),0(0),2(1),0(1),0(0),0(0),2(0),x(0)",25881,https://npb.jp/scores/2026/0331/l-b-01/
2026年3月31日（火）,神　宮,東京ヤクルトスワローズヤクルト,広島東洋カープ広島,8,3,12,6,2,1,0,0,"0(0),1(0),0(0),2(0),3(0),0(3),0(0),2(0),x(0)",28284,https://npb.jp/scores/2026/0331/s-c-01/
2026年3月31日（火）,京セラD大阪,阪神タイガース阪神,横浜DeNAベイスターズDeNA,4,1,6,10,0,0,0,0,"1(0),0(0),0(0),0(0),1(0),2(1),0(0),0(0),x(0)",36191,https://npb.jp/scores/2026/0331/t-db-01/
2026年4月1日（水）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,5,6,9,10,1,0,0,0,"0(3),0(0),1(0),0(0),0(0),1(1),3(2),0(0),0(0)",36647,https://npb.jp/scores/2026/0401/d-g-02/
2026年4月1日（水）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,福岡ソフトバンクホークスソフトバンク,1,6,3,13,0,0,0,0,"0(0),0(0),0(2),0(0),0(0),0(4),0(0),0(0),1(0)",24584,https://npb.jp/scores/2026/0401/e-h-02/
2026年4月1日（水）,エスコンＦ,北海道日本ハムファイターズ日本ハム,千葉ロッテマリーンズロッテ,2,4,5,5,1,1,0,0,"0(0),0(0),0(0),0(3),0(0),2(1),0(0),0(0),0(0)",29819,https://npb.jp/scores/2026/0401/f-m-02/
2026年4月1日（水）,ベルーナドーム,埼玉西武ライオンズ西武,オリックス・バファローズオリックス,0,4,5,7,2,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(4),0(0),0(0),0(0)",21988,https://npb.jp/scores/2026/0401/l-b-02/
2026年4月1日（水）,神　宮,東京ヤクルトスワローズヤクルト,広島東洋カープ広島,,,,,,,0,0,"(),(),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0401/s-c-02/
2026年4月1日（水）,京セラD大阪,阪神タイガース阪神,横浜DeNAベイスターズDeNA,1,4,8,8,0,0,0,0,"0(3),0(0),0(1),0(0),0(0),1(0),0(0),0(0),0(0)",36148,https://npb.jp/scores/2026/0401/t-db-02/
2026年4月2日（木）,バンテリンドーム,中日ドラゴンズ中日,読売ジャイアンツ巨人,2,1,6,4,1,0,0,0,"0(0),0(0),0(0),0(0),2(0),0(0),0(0),0(0),x(1)",36646,https://npb.jp/scores/2026/0402/d-g-03/
2026年4月2日（木）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,福岡ソフトバンクホークスソフトバンク,5,4,11,9,0,1,0,0,"1(0),0(0),0(0),0(2),1(0),0(0),1(0),2(1),x(1)",24088,https://npb.jp/scores/2026/0402/e-h-03/
2026年4月2日（木）,エスコンＦ,北海道日本ハムファイターズ日本ハム,千葉ロッテマリーンズロッテ,7,1,11,8,0,0,0,0,"1(0),2(0),1(0),0(0),0(0),2(0),0(1),1(0),x(0)",29746,https://npb.jp/scores/2026/0402/f-m-03/
2026年4月2日（木）,ベルーナドーム,埼玉西武ライオンズ西武,オリックス・バファローズオリックス,3,7,7,10,0,0,0,0,"0(0),0(0),1(0),0(0),0(2),2(4),0(0),0(1),0(0)",23796,https://npb.jp/scores/2026/0402/l-b-03/
2026年4月2日（木）,神　宮,東京ヤクルトスワローズヤクルト,広島東洋カープ広島,2,1,5,4,0,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(1),0(0),0(0),2x(0)",26896,https://npb.jp/scores/2026/0402/s-c-02/
2026年4月2日（木）,京セラD大阪,阪神タイガース阪神,横浜DeNAベイスターズDeNA,4,3,9,6,0,2,0,0,"3(0),1(0),0(0),0(1),0(0),0(1),0(0),0(1),x(0)",36174,https://npb.jp/scores/2026/0402/t-db-03/
2026年4月3日（金）,マツダスタジアム,広島東洋カープ広島,阪神タイガース阪神,2,4,4,11,0,0,0,0,"0(1),0(0),0(0),0(0),0(0),1(1),0(2),1(0),0(0)",28003,https://npb.jp/scores/2026/0403/c-t-01/
2026年4月3日（金）,エスコンＦ,北海道日本ハムファイターズ日本ハム,オリックス・バファローズオリックス,12,3,15,7,0,0,0,0,"0(0),3(0),0(0),3(0),0(0),5(0),0(1),1(2),x(0)",29933,https://npb.jp/scores/2026/0403/f-b-01/
2026年4月3日（金）,東京ドーム,読売ジャイアンツ巨人,横浜DeNAベイスターズDeNA,1,3,7,7,1,0,0,0,"0(0),0(0),0(0),0(1),0(2),0(0),1(0),0(0),0(0)",41855,https://npb.jp/scores/2026/0403/g-db-01/
2026年4月3日（金）,ベルーナドーム,埼玉西武ライオンズ西武,東北楽天ゴールデンイーグルス楽天,3,6,7,8,1,1,0,0,"0(0),0(0),0(0),3(5),0(0),0(1),0(0),0(0),0(0)",20103,https://npb.jp/scores/2026/0403/l-e-01/
2026年4月3日（金）,ZOZOマリン,千葉ロッテマリーンズロッテ,福岡ソフトバンクホークスソフトバンク,3,2,8,5,2,1,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(2),0(0),3x(0)",27014,https://npb.jp/scores/2026/0403/m-h-01/
